date,contributor,hours,rate,category,description
2026-04-13,Marcus,2.0,150,engineering,"Initial Next.js 16 + Supabase scaffold, design system, auth + clients CRUD"
2026-04-13,Marcus,1.5,150,engineering,"Phase 1: projects, time entries, timer, settings, docs"
2026-04-13,Marcus,1.0,150,engineering,"Phase 2: invoicing with PDF generation, GitHub integration"
2026-04-13,Marcus,1.0,150,engineering,"Phase 4: dashboard, reports, keyboard shortcuts, hooks"
2026-04-13,Marcus,1.5,150,engineering,"Multi-tenant + multi-org: RLS, MFA TOTP, backup codes, defense-in-depth"
2026-04-14,Marcus,1.5,150,engineering,"Rename clients → customers across DB, code, URLs, tests"
2026-04-14,Marcus,1.5,150,engineering,"Business module MVP, expenses CRUD, sample-data seeding tool"
2026-04-14,Marcus,1.0,150,engineering,"Team rename (organizations → teams), per-business URL restructure"
2026-04-14,Marcus,1.0,150,engineering,"Navigation feedback: TopProgressBar, link spinners, route loading"
2026-04-14,Marcus,1.0,150,design,"Audience-segmented docs + /docs rewrite, role-aware landing"
2026-04-15,Marcus,1.5,150,engineering,"Time entries: inline delete confirm, Undo + Trash, save status"
2026-04-15,Marcus,1.0,150,engineering,"Migrations CI automation + parity test for allow-lists vs CHECK constraints"
2026-04-15,Marcus,1.5,150,engineering,"Project-scoped time categories, system category sets, sidebar redesign"
2026-04-15,Marcus,1.0,150,engineering,"Weekly timesheet: typography, borderless cells, keyboard nav"
2026-04-15,Marcus,1.0,150,engineering,"Lint as CI gate (zero-warning), text-size pref, theme tokens"
2026-04-16,Marcus,1.5,150,engineering,"Phase 2a-c: rate model schema, visibility helpers, masked views"
2026-04-16,Marcus,1.0,150,engineering,"SAL-006: tighten time_entries_select to own-entries by default"
2026-04-16,Marcus,1.0,150,admin,"GitHub Packages + @theshyre/ui consumption + CI auth wiring"
2026-04-16,Marcus,1.0,150,engineering,"Tests for invoices/actions, auth/authorization libs, coverage gate"
2026-04-17,Marcus,1.0,150,engineering,"Time-entry authorship rule (mandatory) + day-view + running timer wire-up"
2026-04-17,Marcus,1.0,150,engineering,"Phase 4a: team-settings UI for rate + time-entry visibility"
2026-04-17,Marcus,0.75,150,engineering,"Time page: grouping, collapsibility, author colors"
2026-04-17,Marcus,0.75,150,admin,"Adopt @theshyre/ui 0.3 → 0.8: AlertBanner, Spinner, formatDate, formStyles"
2026-04-19,Marcus,1.5,150,engineering,"Sample-data refinements + start-timer-from-existing-entry"
2026-04-20,Marcus,1.5,150,engineering,"Running timer: sticky header pill + sidebar amplification + week cell live tick"
2026-04-20,Marcus,1.5,150,engineering,"Multi-row select + bulk delete on day view, kebab portal"
2026-04-20,Marcus,1.0,150,engineering,"Tooltip primitive + multi-select overlay + MANDATORY rule"
2026-04-20,Marcus,1.0,150,engineering,"Split business from team, multi-state registrations"
2026-04-20,Marcus,0.5,150,engineering,"People tab: business_people table with optional Shyre-user link"
2026-04-23,Marcus,2.0,150,engineering,"Harvest import overhaul: TZ-correct, multi-user, auditable, tested"
2026-04-23,Marcus,1.0,150,engineering,"Import history + per-run undo, classified Harvest errors"
2026-04-23,Marcus,0.5,150,admin,"SessionStart hook: auto-check @theshyre/* drift"
2026-04-24,Marcus,1.5,150,engineering,"Import reconciliation: did Shyre actually land what Harvest said?"
2026-04-24,Marcus,1.0,150,engineering,"logError in API routes — admin error-log completeness"
2026-04-24,Marcus,1.5,150,design,"Week timesheet: ux-designer polish pass, typography rhythm, alignment"
2026-04-24,Marcus,0.5,150,admin,"Docs: extract migrations + documentation playbooks, expand persona table"
2026-04-27,Marcus,2.0,150,engineering,"SAL-011: invoices RLS tightening + audit trail + status hardening"
2026-04-27,Marcus,1.5,150,engineering,"Ticket linking: Jira + GitHub auto-resolve from description"
2026-04-27,Marcus,1.5,150,engineering,"Audit trails: businesses, business_state_registrations, business_people history"
2026-04-27,Marcus,1.0,150,engineering,"SAL-012/013 + multi-currency + period locks + SAL-014 Jira SSRF guard"
2026-04-27,Marcus,1.0,150,engineering,"Sidebar: registry-driven, two-section grouping, role-gate Business"
2026-04-28,Marcus,1.5,150,engineering,"Settings IA tier renames: 1 (label) → 2 (sysadmin /system) → 3 (/admin → /settings)"
2026-04-28,Marcus,1.5,150,engineering,"Tier 4 (Members card) + Tier 5 (Team-scope chip on Projects + sidebar context)"
2026-04-28,Marcus,1.0,150,engineering,"Token expiration tracking + Jira help (URL + scopes)"
2026-04-28,Marcus,1.0,150,engineering,"Expenses: soft-delete + Undo + author + locked-through banner + row-level gating"
2026-04-28,Marcus,1.0,150,engineering,"Locked-through banner on /time-entries, fiscal-year defer, A11y sweep"
2026-04-29,Marcus,2.0,150,engineering,"Expense table: spreadsheet feel, in-cell edits, density toggle"
2026-04-29,Marcus,1.5,150,engineering,"Expense URL-driven filters + multi-select + bulk actions + cross-page select"
2026-04-29,Marcus,1.5,150,engineering,"Bulk pickers: portal menu, viewport-aware flip, in-menu pending feedback"
2026-04-29,Marcus,1.0,150,engineering,"Expenses CSV import + manual expense form + split-by-category"
2026-04-29,Marcus,1.0,150,engineering,"List pages pagination rollout (invoices, projects, trash) + server pagination"
2026-04-30,Marcus,2.0,150,engineering,"Harvest import: payment records, sent recipients, real timestamps, refresh on re-import"
2026-04-30,Marcus,1.5,150,engineering,"Invoice activity log: history timeline + actor resolution + viewer-local TZ"
2026-04-30,Marcus,1.5,150,engineering,"Invoice PDF redesign: branded wordmark + Net N + payments rollup + discount support"
2026-04-30,Marcus,1.5,150,engineering,"Time entries: lock invoiced rows + week-cell lock + force-undo path"
2026-04-30,Marcus,1.0,150,engineering,"New invoice flow: live preview, range presets, grouping radio, Since-last-invoice default"
2026-04-30,Marcus,1.0,150,engineering,"Sidebar IA: SETUP section + breadcrumbs + [ shortcut + small-viewport trim"
2026-04-30,Marcus,1.0,150,engineering,"Ticket linking: Harvest external_reference + Jira-key parse + Use-as-description"
2026-04-30,Marcus,0.5,150,engineering,"Forms: 12-col grid + field-sizing rubric"
2026-05-01,Marcus,1.0,150,engineering,"Force-undo: pre-clear invoiced links + invoices-before-projects + AppError.refusal"
2026-05-01,Marcus,1.0,150,admin,"Silent-error sweep + table-style standardization + promotion-candidates doc"
2026-05-01,Marcus,0.5,150,admin,"Company tracking: docs/company/* (CSV + categories + formation) + seed script"
